block,condition,tr_num,phase_num,left_image1,right_image1,left_image2,right_image2,audio1,audio2,audio1_dur,audio2_dur,target_side,correct_response,alien,name,background
1,simultaneous,1,1,mercury,A1,mercury,venus,akar-phono,where-he,6000,6000,R,1,A1,akar,black-background
1,simultaneous,2,2,I1,jupiter,mars,jupiter,gazzer-phono,where-she,6000,6000,L,0,I1,gazzer,black-background
1,simultaneous,3,3,J3,neptune,saturn,neptune,broost-phono,where-he,6000,6000,L,0,J3,broost,black-background
1,simultaneous,4,4,C1,venus,neptune,venus,trag-phono,where-she,6000,6000,L,0,C1,trag,black-background
1,simultaneous,5,5,mars,A33,mars,mercury,mothi-phono,where-he,6000,6000,R,1,A33,mothi,black-background
2,simultaneous,21,6,jupiter,E3,jupiter,saturn,koba-phono,where-she,6000,6000,R,1,E3,koba,black-background
2,simultaneous,22,7,C24,neptune,mercury,neptune,glark-phono,where-she,6000,6000,L,0,C24,glark,black-background
2,simultaneous,23,8,C31,jupiter,venus,jupiter,tulver-phono,where-he,6000,6000,L,0,C31,tulver,black-background
2,simultaneous,24,9,saturn,B2,saturn,mars,heab-phono,where-he,6000,6000,R,1,B2,heab,black-background
2,simultaneous,25,10,venus,E1,venus,saturn,eget-phono,where-she,6000,6000,R,1,E1,eget,black-background
3,name first,41,11,jupiter,mars,jupiter,B34,darg-phono,there-she,6000,6000,R,1,B34,darg,black-background
3,name first,42,12,neptune,mercury,neptune,H3,upos-phono,there-he,6000,6000,R,1,H3,upos,black-background
3,name first,43,13,mercury,jupiter,B4,jupiter,leche-phono,there-she,6000,6000,L,0,B4,leche,black-background
3,name first,44,14,mars,venus,mars,D3,nera-phono,there-he,6000,6000,R,1,D3,nera,black-background
3,name first,45,15,neptune,saturn,A25,saturn,virdex-phono,there-she,6000,6000,L,0,A25,virdex,black-background
4,name first,61,16,saturn,mercury,A28,mercury,chatten-phono,there-he,6000,6000,L,0,A28,chatten,black-background
4,name first,62,17,jupiter,venus,jupiter,I4,foom-phono,there-he,6000,6000,R,1,I4,foom,black-background
4,name first,63,18,mars,neptune,A3,neptune,osid-phono,there-she,6000,6000,L,0,A3,osid,black-background
4,name first,64,19,mercury,mars,J2,mars,yok-phono,there-he,6000,6000,L,0,J2,yok,black-background
4,name first,65,20,venus,neptune,venus,B23,sibu-phono,there-she,6000,6000,R,1,B23,sibu,black-background
5,referent first,81,21,saturn,B26,saturn,jupiter,first-her,wiso-phono,6000,6000,R,1,B26,wiso,black-background
5,referent first,82,22,jupiter,D1,jupiter,mercury,next-his,zeb-phono,6000,6000,R,1,D1,zeb,black-background
5,referent first,83,23,C30,mars,neptune,mars,another-his,colat-phono,6000,6000,L,0,C30,colat,black-background
5,referent first,84,24,C26,venus,saturn,venus,next-his,edoz-phono,6000,6000,L,0,C26,edoz,black-background
5,referent first,85,25,G3,mercury,venus,mercury,last-her,juss-phono,6000,6000,L,0,G3,juss,black-background
6,referent first,101,26,C27,saturn,mars,saturn,first-her,wilp-phono,6000,6000,L,0,C27,wilp,black-background
6,referent first,102,27,neptune,K1,neptune,jupiter,next-his,pizer-phono,6000,6000,R,1,K1,pizer,black-background
6,referent first,103,28,mercury,A35,mercury,saturn,another-her,smosh-phono,6000,6000,R,1,A35,smosh,black-background
6,referent first,104,29,venus,B28,venus,mars,next-her,isot-phono,6000,6000,R,1,B28,isot,black-background
6,referent first,105,30,L1,neptune,jupiter,neptune,last-his,regli-phono,6000,6000,L,0,L1,regli,black-background
